  
 Model:
  LAYER     H(km)     Vp(km/s)     Vs(km/s)  Density     QA(inv)     QB(inv)
  102   0.317E-02 -0.670E-02 -0.225E-07  0.137E-05  0.347E-06
  103   0.298E-02 -0.633E-02 -0.225E-07  0.122E-05  0.308E-06
  104   0.280E-02 -0.598E-02 -0.225E-07  0.107E-05  0.273E-06
  105   0.263E-02 -0.565E-02 -0.225E-07  0.950E-06  0.243E-06
  106   0.247E-02 -0.534E-02 -0.116E-07  0.840E-06  0.219E-06
  107   0.232E-02 -0.503E-02 -0.188E-08  0.742E-06  0.197E-06
  108   0.218E-02 -0.473E-02 -0.188E-08  0.656E-06  0.174E-06
  109   0.205E-02 -0.445E-02 -0.188E-08  0.579E-06  0.154E-06
  110   0.192E-02 -0.418E-02 -0.188E-08  0.511E-06  0.136E-06
  111   0.181E-02 -0.393E-02 -0.188E-08  0.451E-06  0.120E-06
  112   0.170E-02 -0.370E-02 -0.188E-08  0.398E-06  0.106E-06
  113   0.159E-02 -0.348E-02 -0.188E-08  0.352E-06  0.937E-07
  114   0.150E-02 -0.327E-02 -0.188E-08  0.310E-06  0.827E-07
  115   0.141E-02 -0.308E-02 -0.188E-08  0.274E-06  0.731E-07
  116   0.132E-02 -0.290E-02 -0.188E-08  0.242E-06  0.646E-07
  117   0.124E-02 -0.272E-02 -0.188E-08  0.213E-06  0.570E-07
  118   0.116E-02 -0.256E-02 -0.188E-08  0.188E-06  0.504E-07
  119   0.109E-02 -0.241E-02 -0.188E-08  0.166E-06  0.445E-07
  120   0.102E-02 -0.227E-02 -0.188E-08  0.146E-06  0.393E-07
  121   0.961E-03 -0.214E-02 -0.188E-08  0.129E-06  0.348E-07
  122   0.901E-03 -0.201E-02 -0.188E-08  0.114E-06  0.307E-07
  123   0.845E-03 -0.190E-02 -0.188E-08  0.100E-06  0.271E-07
  124   0.792E-03 -0.179E-02 -0.188E-08  0.880E-07  0.240E-07
  125   0.743E-03 -0.169E-02 -0.188E-08  0.775E-07  0.212E-07
  126   0.696E-03 -0.159E-02 -0.188E-08  0.682E-07  0.187E-07
  127   0.651E-03 -0.150E-02 -0.188E-08  0.599E-07  0.165E-07
