  
 Model:
  LAYER     H(km)     Vp(km/s)     Vs(km/s)  Density     QA(inv)     QB(inv)
   30  -0.175E+00  0.355E+01  0.561E+00 -0.344E+01 -0.107E-01  0.341E-03  0.204E-01  0.544E-02
   31  -0.174E+00  0.347E+01  0.537E+00 -0.340E+01 -0.107E-01  0.324E-03  0.196E-01  0.554E-02
   32  -0.172E+00  0.338E+01  0.514E+00 -0.335E+01 -0.107E-01  0.312E-03  0.188E-01  0.560E-02
   33  -0.170E+00  0.330E+01  0.491E+00 -0.330E+01 -0.107E-01  0.304E-03  0.180E-01  0.562E-02
   34  -0.166E+00  0.321E+01  0.469E+00 -0.324E+01 -0.107E-01  0.299E-03  0.172E-01  0.561E-02
   35  -0.161E+00  0.314E+01  0.446E+00 -0.318E+01 -0.107E-01  0.299E-03  0.163E-01  0.557E-02
   36  -0.156E+00  0.306E+01  0.425E+00 -0.311E+01 -0.107E-01  0.303E-03  0.155E-01  0.551E-02
   37  -0.150E+00  0.299E+01  0.404E+00 -0.304E+01 -0.107E-01  0.310E-03  0.146E-01  0.543E-02
   38  -0.142E+00  0.292E+01  0.383E+00 -0.297E+01 -0.107E-01  0.322E-03  0.138E-01  0.533E-02
   39  -0.134E+00  0.286E+01  0.363E+00 -0.289E+01 -0.107E-01  0.338E-03  0.130E-01  0.522E-02
   40  -0.125E+00  0.281E+01  0.344E+00 -0.281E+01 -0.107E-01  0.359E-03  0.122E-01  0.511E-02
   41  -0.114E+00  0.276E+01  0.326E+00 -0.272E+01 -0.533E-02  0.202E-03  0.990E-02  0.393E-02
   42  -0.109E+00  0.269E+01  0.310E+00 -0.263E+01 -0.103E-02  0.910E-04  0.818E-02  0.302E-02
   43  -0.108E+00  0.260E+01  0.296E+00 -0.255E+01 -0.103E-02  0.782E-04  0.772E-02  0.290E-02
   44  -0.106E+00  0.251E+01  0.283E+00 -0.247E+01 -0.103E-02  0.673E-04  0.726E-02  0.277E-02
   45  -0.104E+00  0.242E+01  0.270E+00 -0.239E+01 -0.103E-02  0.581E-04  0.681E-02  0.264E-02
   46  -0.102E+00  0.233E+01  0.258E+00 -0.231E+01 -0.103E-02  0.503E-04  0.638E-02  0.251E-02
   47  -0.100E+00  0.224E+01  0.246E+00 -0.224E+01 -0.103E-02  0.438E-04  0.596E-02  0.237E-02
   48  -0.980E-01  0.216E+01  0.234E+00 -0.216E+01 -0.103E-02  0.383E-04  0.556E-02  0.224E-02
   49  -0.957E-01  0.207E+01  0.223E+00 -0.209E+01 -0.103E-02  0.336E-04  0.517E-02  0.211E-02
   50  -0.932E-01  0.199E+01  0.211E+00 -0.202E+01 -0.103E-02  0.297E-04  0.480E-02  0.199E-02
   51  -0.907E-01  0.190E+01  0.201E+00 -0.195E+01 -0.103E-02  0.265E-04  0.445E-02  0.186E-02
   52  -0.881E-01  0.182E+01  0.190E+00 -0.188E+01 -0.103E-02  0.237E-04  0.412E-02  0.175E-02
   53  -0.854E-01  0.174E+01  0.180E+00 -0.182E+01 -0.103E-02  0.215E-04  0.381E-02  0.163E-02
   54  -0.827E-01  0.167E+01  0.171E+00 -0.175E+01 -0.103E-02  0.196E-04  0.352E-02  0.152E-02
