  
 Model:
  LAYER     H(km)       TA          TC          TF          TL          TN        Density     QA(inv)     QB(inv)
   18  -0.165E+00  0.313E+01  0.439E+00 -0.318E+01 -0.974E-02  0.670E-02 -0.619E-02 -0.811E-02  0.306E-01  0.000E+00  0.109E-01
   19  -0.153E+00  0.297E+01  0.396E+00 -0.303E+01 -0.974E-02  0.596E-02 -0.543E-02 -0.698E-02  0.271E-01  0.000E+00  0.104E-01
   20  -0.137E+00  0.282E+01  0.356E+00 -0.287E+01 -0.974E-02  0.516E-02 -0.457E-02 -0.572E-02  0.238E-01  0.000E+00  0.986E-02
   21  -0.118E+00  0.271E+01  0.318E+00 -0.270E+01 -0.467E-02  0.382E-02 -0.350E-02 -0.490E-02  0.181E-01  0.000E+00  0.735E-02
   22  -0.107E+00  0.257E+01  0.287E+00 -0.252E+01 -0.860E-03  0.293E-02 -0.280E-02 -0.449E-02  0.140E-01  0.000E+00  0.543E-02
   23  -0.103E+00  0.238E+01  0.261E+00 -0.235E+01 -0.860E-03  0.259E-02 -0.249E-02 -0.406E-02  0.122E-01  0.000E+00  0.488E-02
   24  -0.986E-01  0.220E+01  0.237E+00 -0.219E+01 -0.860E-03  0.227E-02 -0.220E-02 -0.362E-02  0.106E-01  0.000E+00  0.434E-02
   25  -0.937E-01  0.203E+01  0.214E+00 -0.204E+01 -0.860E-03  0.198E-02 -0.193E-02 -0.321E-02  0.915E-02  0.000E+00  0.382E-02
   26  -0.885E-01  0.186E+01  0.193E+00 -0.190E+01 -0.860E-03  0.172E-02 -0.168E-02 -0.282E-02  0.782E-02  0.000E+00  0.334E-02
   27  -0.831E-01  0.170E+01  0.173E+00 -0.176E+01 -0.860E-03  0.149E-02 -0.146E-02 -0.245E-02  0.664E-02  0.000E+00  0.290E-02
   28  -0.775E-01  0.155E+01  0.155E+00 -0.164E+01 -0.860E-03  0.129E-02 -0.126E-02 -0.212E-02  0.561E-02  0.000E+00  0.250E-02
   29  -0.719E-01  0.141E+01  0.138E+00 -0.152E+01 -0.860E-03  0.110E-02 -0.108E-02 -0.181E-02  0.471E-02  0.000E+00  0.215E-02
   30  -0.662E-01  0.128E+01  0.122E+00 -0.141E+01 -0.860E-03  0.942E-03 -0.918E-03 -0.154E-02  0.393E-02  0.000E+00  0.184E-02
   31  -0.604E-01  0.116E+01  0.107E+00 -0.130E+01 -0.860E-03  0.797E-03 -0.774E-03 -0.128E-02  0.326E-02  0.000E+00  0.156E-02
   32  -0.544E-01  0.105E+01  0.938E-01 -0.120E+01 -0.860E-03  0.668E-03 -0.644E-03 -0.105E-02  0.269E-02  0.000E+00  0.133E-02
   33  -0.482E-01  0.961E+00  0.814E-01 -0.111E+01 -0.860E-03  0.552E-03 -0.525E-03 -0.835E-03  0.220E-02  0.000E+00  0.112E-02
   34  -0.416E-01  0.883E+00  0.702E-01 -0.102E+01 -0.860E-03  0.446E-03 -0.415E-03 -0.638E-03  0.178E-02  0.000E+00  0.950E-03
   35  -0.346E-01  0.821E+00  0.601E-01 -0.925E+00 -0.860E-03  0.350E-03 -0.313E-03 -0.458E-03  0.144E-02  0.000E+00  0.806E-03
   36  -0.270E-01  0.776E+00  0.512E-01 -0.834E+00 -0.337E-03  0.218E-03 -0.203E-03 -0.408E-03  0.944E-03  0.000E+00  0.514E-03
   37  -0.226E-01  0.722E+00  0.448E-01 -0.748E+00 -0.652E-09  0.147E-03 -0.144E-03 -0.386E-03  0.645E-03  0.000E+00  0.334E-03
   38  -0.206E-01  0.651E+00  0.399E-01 -0.670E+00 -0.652E-09  0.119E-03 -0.117E-03 -0.316E-03  0.526E-03  0.000E+00  0.274E-03
   39  -0.187E-01  0.586E+00  0.355E-01 -0.599E+00 -0.652E-09  0.962E-04 -0.948E-04 -0.258E-03  0.426E-03  0.000E+00  0.223E-03
